step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
219,37275,219,1.506515799,0,0.530612245
220,37500,220,2.012983328,0,0.502415459
221,37597,221,0.763284337,0,0.740740741
222,37750,222,1.209518417,0,0.664285714
223,37903,223,1.34952241,0,0.611510791
224,37984,224,0.950453152,0,0.706896552
225,38145,225,2.055878353,0,0.462068966
226,38194,226,1.057159355,0,0.707317073
227,38275,227,1.909714364,0,0.411764706
228,38324,228,1.660890602,0,0.5
229,38485,229,1.406814356,0,0.573426573
230,38678,230,2.059640282,0,0.491803279
231,38751,231,1.365290831,0,0.62745098
232,38992,232,1.668520007,0,0.547619048
233,39049,233,1.83546181,0,0.413043478
234,39338,234,2.177130428,0,0.459558824
235,39427,235,1.460960577,0,0.597222222
236,39508,236,0.734397416,0,0.672413793
237,39597,237,1.007242444,0,0.666666667
238,40070,238,1.515872389,0,0.587196468
239,40111,239,1.456222798,0,0.65625
240,40224,240,1.093237654,0,0.608695652
241,40273,241,1.796987877,0,0.382352941
242,40434,242,1.373922719,0,0.586956522
243,40731,243,2.156176592,0,0.45035461
244,40900,244,1.711384128,0,0.523809524
245,40989,245,1.554051363,0,0.576923077
246,41198,246,1.752087764,0,0.56122449
247,41271,247,1.911808771,0,0.523076923
248,41424,248,1.424575453,0,0.634328358
249,41497,249,1.708308827,0,0.524590164
250,41698,250,1.343747107,0,0.664864865
251,41803,251,1.768034111,0,0.52173913
252,42084,252,1.394059044,0,0.674509804
253,42173,253,2.132563149,0,0.481012658
254,42374,254,1.665087093,0,0.551351351
255,42647,255,1.475683039,0,0.548262548
256,42936,256,1.799861419,0,0.580524345
257,43129,257,1.825289666,0,0.572222222
258,43378,258,2.156689537,0,0.487179487
259,43539,259,1.599894044,0,0.594594595
260,43740,260,1.850723436,0,0.55026455
261,43941,261,1.856348837,0,0.566137566
262,44014,262,1.767325332,0,0.457627119
263,44047,263,1.212314606,0,0.555555556
264,44264,264,2.016884911,0,0.555
265,44513,265,1.825731564,0,0.596566524
266,44602,266,0.904360867,0,0.661971831
267,44739,267,1.655314836,0,0.615384615
268,45004,268,1.942162713,0,0.508064516
269,45141,269,1.256662023,0,0.620967742
270,45350,270,1.420535866,0,0.622857143
271,45495,271,1.804170231,0,0.488549618
272,45728,272,2.536949674,0,0.407407407
273,46081,273,1.937333263,0,0.519756839
274,47290,274,1.908741495,0,0.567114094
275,47411,275,1.950979402,0,0.544642857
276,47708,276,1.640931659,0,0.613970588
277,47941,277,1.500485007,0,0.600896861
278,48014,278,1.569895272,0,0.566666667
279,48031,279,0.909067086,0,0.5
280,48088,280,1.632306955,0,0.5
281,48297,281,1.809606043,0,0.591836735
282,48354,282,1.47835339,0,0.428571429
283,48667,283,1.682052848,0,0.606060606
284,48828,284,1.681461095,0,0.532846715
285,48917,285,1.313162201,0,0.594594595
286,49486,286,1.421610348,0,0.682226212
287,49647,287,1.240710251,0,0.654411765
288,49768,288,1.513170535,0,0.607843137
289,49961,289,0.869728187,0,0.714285714
290,50074,290,2.145432793,0,0.336956522
291,50547,291,1.692837915,0,0.620390456
292,50796,292,1.922023623,0,0.472477064
293,51077,293,1.560614624,0,0.610894942
294,51654,294,1.902106859,0,0.577817531
295,51799,295,2.103213637,0,0.48
296,52008,296,1.478928934,0,0.563829787
297,52081,297,1.839845357,0,0.413793103
298,52282,298,1.582636643,0,0.565714286
299,53635,299,1.903495143,0,0.520989505
300,53884,300,1.517798052,0,0.588785047
301,54165,301,1.83069185,0,0.51984127
302,54230,302,1.573852591,0,0.530612245
303,54519,303,1.918482775,0,0.533088235
304,54640,304,1.278345037,0,0.688073394
305,54977,305,1.928314757,0,0.53271028
306,55186,306,1.559887975,0,0.609375
307,55315,307,1.490730162,0,0.556521739
308,55476,308,2.147748599,0,0.44295302
309,55709,309,2.216792247,0,0.493273543
310,55774,310,1.365701492,0,0.557692308
311,56063,311,1.778242797,0,0.534798535
312,56240,312,1.778416801,0,0.539877301
313,56713,313,1.8898083,0,0.520971302
314,56802,314,2.213660695,0,0.391891892
315,56867,315,0.904015193,0,0.714285714
316,57188,316,2.136432342,0,0.504823151
317,57365,317,1.628058169,0,0.541935484
318,57438,318,1.356170456,0,0.591836735
319,57511,319,1.93814783,0,0.442622951
320,57616,320,1.327894741,0,0.593023256
321,58353,321,1.975038736,0,0.508645533
322,58626,322,1.909225721,0,0.520491803
323,58731,323,1.602189918,0,0.588235294
324,58940,324,1.753190423,0,0.574358974
325,59149,325,2.153912953,0,0.455
326,59246,326,1.651491066,0,0.551724138
327,59567,327,1.590536059,0,0.625806452
328,59752,328,1.216570652,0,0.648484848
329,59833,329,0.908896662,0,0.683333333
330,59930,330,2.351285721,0,0.470588235
331,60107,331,1.546402841,0,0.629411765
332,60172,332,1.067771856,0,0.673469388
333,60381,333,1.93058299,0,0.48241206
334,60630,334,1.986014703,0,0.52173913
335,60799,335,1.366938749,0,0.697530864
336,61008,336,1.560739835,0,0.623115578
337,61185,337,1.81462152,0,0.535714286
338,61298,338,1.928555684,0,0.427083333
339,61587,339,1.75598537,0,0.53649635
340,61668,340,1.798045835,0,0.467741935
341,61733,341,1.309623504,0,0.591836735
342,61966,342,1.480306118,0,0.570776256
343,62111,343,1.624203945,0,0.511627907
344,62304,344,1.258249729,0,0.578313253
345,62401,345,1.974540105,0,0.421052632
346,62618,346,1.508205851,0,0.644670051
347,62771,347,1.889539073,0,0.552447552
348,62876,348,1.484958812,0,0.5
349,63053,349,1.603015262,0,0.54375
350,63278,350,2.054692816,0,0.570093458
351,63495,351,1.845842754,0,0.524752475
352,63712,352,1.603268504,0,0.565656566
353,63969,353,1.82561932,0,0.555066079
